 Linear2 Linear1 Linear0
10 "[0.9658, 0.966, 0.9608, 0.9605, 0.9575, 0.9603, 0.9648, 0.9674, 0.9618, 0.9613, 0.9732, 0.9661, 0.9643, 0.9547, 0.9623, 0.9559, 0.9579, 0.958, 0.9627, 0.9585]" "[0.8095, 0.7375, 0.803, 0.7991, 0.8068, 0.8167, 0.8063, 0.8111, 0.821, 0.7975, 0.8155, 0.812, 0.8127, 0.787, 0.8088, 0.7466, 0.8092, 0.8227, 0.795, 0.8087]" "[0.522, 0.5145, 0.4975, 0.4922, 0.5109, 0.4945, 0.5215, 0.5017, 0.4996, 0.5028, 0.4922, 0.5106, 0.4922, 0.5261, 0.4855, 0.5209, 0.4986, 0.4973, 0.4907, 0.5214]"
20 "[0.9709, 0.9698, 0.9713, 0.9719, 0.9709, 0.9698, 0.9712, 0.9723, 0.9707, 0.9709, 0.9742, 0.9709, 0.9723, 0.97, 0.9702, 0.9711, 0.9613, 0.9733, 0.9738, 0.9729]" "[0.9229, 0.9163, 0.9293, 0.9244, 0.9161, 0.9099, 0.918, 0.9148, 0.9222, 0.9296, 0.9267, 0.9135, 0.9165, 0.9153, 0.9224, 0.9302, 0.9166, 0.9227, 0.9209, 0.9094]" "[0.577, 0.585, 0.5891, 0.6065, 0.5558, 0.5638, 0.561, 0.5898, 0.5854, 0.5888, 0.5982, 0.592, 0.5912, 0.5804, 0.6022, 0.581, 0.5726, 0.5976, 0.5964, 0.6054]"
40 "[0.9806, 0.9821, 0.9811, 0.9825, 0.9819, 0.9822, 0.9826, 0.9819, 0.9811, 0.9827, 0.9833, 0.9827, 0.9818, 0.9827, 0.9823, 0.9832, 0.982, 0.9824, 0.983, 0.9824]" "[0.9366, 0.9354, 0.9342, 0.9431, 0.9493, 0.9491, 0.9475, 0.9435, 0.9475, 0.9334, 0.948, 0.9313, 0.9468, 0.9386, 0.9393, 0.9385, 0.9421, 0.9402, 0.9553, 0.94]" "[0.7773, 0.7854, 0.7832, 0.7812, 0.7894, 0.7851, 0.7817, 0.7848, 0.7925, 0.7735, 0.7915, 0.7706, 0.7717, 0.7836, 0.7885, 0.7718, 0.7806, 0.7771, 0.789, 0.7938]"
80 "[0.9775, 0.9733, 0.9781, 0.9785, 0.9796, 0.9778, 0.977, 0.9766, 0.978, 0.9773, 0.9777, 0.9776, 0.9774, 0.9769, 0.9776, 0.9776, 0.9766, 0.9777, 0.9765, 0.9779]" "[0.969, 0.9701, 0.9745, 0.9672, 0.9669, 0.9746, 0.9732, 0.967, 0.9674, 0.9758, 0.9674, 0.9743, 0.972, 0.9742, 0.969, 0.9719, 0.9714, 0.967, 0.9729, 0.968]" "[0.8841, 0.8906, 0.8871, 0.8854, 0.8782, 0.8933, 0.8806, 0.8967, 0.8792, 0.8753, 0.8755, 0.8909, 0.8796, 0.881, 0.8947, 0.8809, 0.8853, 0.8849, 0.8826, 0.8826]"
160 "[0.9777, 0.9785, 0.9785, 0.9777, 0.9781, 0.9755, 0.9775, 0.9782, 0.9784, 0.9781, 0.9777, 0.9788, 0.9787, 0.9793, 0.9761, 0.9784, 0.9773, 0.9792, 0.9777, 0.9774]" "[0.9747, 0.9737, 0.9737, 0.9737, 0.9761, 0.9717, 0.9752, 0.9765, 0.9733, 0.9745, 0.9748, 0.9762, 0.9745, 0.9741, 0.9758, 0.9745, 0.973, 0.9722, 0.9757, 0.9745]" "[0.9084, 0.9153, 0.9134, 0.913, 0.9134, 0.9137, 0.9145, 0.9204, 0.9152, 0.9135, 0.915, 0.9186, 0.9198, 0.9184, 0.9201, 0.9184, 0.905, 0.9172, 0.916, 0.9229]"
320 "[0.9808, 0.9817, 0.9823, 0.9806, 0.9812, 0.9805, 0.9804, 0.9814, 0.9814, 0.9811, 0.9813, 0.9825, 0.98, 0.9818, 0.9808, 0.9816, 0.9806, 0.9818, 0.9803, 0.9823]" "[0.9774, 0.9777, 0.9775, 0.9768, 0.978, 0.9779, 0.9756, 0.9776, 0.9774, 0.9772, 0.9767, 0.9753, 0.978, 0.9781, 0.9778, 0.9781, 0.9782, 0.9784, 0.977, 0.9772]" "[0.9419, 0.9413, 0.944, 0.9449, 0.9472, 0.9369, 0.9385, 0.9439, 0.9405, 0.9407, 0.9433, 0.9431, 0.9477, 0.942, 0.9354, 0.9432, 0.9371, 0.9443, 0.9438, 0.9407]"
640 "[0.9796, 0.9815, 0.9817, 0.9808, 0.9823, 0.9802, 0.9812, 0.9818, 0.9807, 0.9807, 0.9821, 0.9816, 0.9824, 0.9821, 0.9823, 0.9825, 0.9811, 0.9802, 0.9813, 0.9815]" "[0.9792, 0.9788, 0.9788, 0.9784, 0.9766, 0.9777, 0.9794, 0.9787, 0.9788, 0.9795, 0.978, 0.9785, 0.9786, 0.9792, 0.978, 0.9799, 0.9788, 0.9785, 0.9795, 0.9779]" "[0.9526, 0.9528, 0.9537, 0.9526, 0.9492, 0.9445, 0.9507, 0.9515, 0.952, 0.9504, 0.9537, 0.9534, 0.9511, 0.9538, 0.9509, 0.9535, 0.9502, 0.9513, 0.953, 0.9501]"
1280 "[0.9839, 0.9841, 0.9838, 0.9836, 0.9834, 0.984, 0.9842, 0.984, 0.9834, 0.9828, 0.9838, 0.9842, 0.9841, 0.9829, 0.9839, 0.9838, 0.9848, 0.9842, 0.9832, 0.9845]" "[0.9814, 0.9809, 0.9806, 0.9807, 0.9803, 0.981, 0.9811, 0.9805, 0.9814, 0.9802, 0.9803, 0.9811, 0.9804, 0.9801, 0.9813, 0.9793, 0.9806, 0.9802, 0.9808, 0.9804]" "[0.9629, 0.9623, 0.9623, 0.963, 0.9605, 0.9609, 0.9615, 0.9606, 0.9639, 0.9627, 0.9616, 0.9625, 0.9624, 0.9604, 0.9612, 0.9619, 0.9606, 0.9614, 0.9606, 0.9587]"
2560 "[0.9842, 0.9831, 0.9833, 0.9839, 0.9842, 0.9842, 0.984, 0.9844, 0.9844, 0.9837, 0.9841, 0.9841, 0.9833, 0.9837, 0.9841, 0.9839, 0.9835, 0.9833, 0.9838, 0.9831]" "[0.9826, 0.9813, 0.9812, 0.982, 0.9809, 0.9813, 0.9813, 0.9825, 0.9821, 0.9812, 0.9819, 0.9802, 0.9822, 0.9818, 0.9805, 0.9819, 0.9818, 0.9804, 0.9811, 0.9824]" "[0.9679, 0.9694, 0.9674, 0.9678, 0.9671, 0.9672, 0.9684, 0.9685, 0.9671, 0.9669, 0.9688, 0.9662, 0.97, 0.9672, 0.9673, 0.9684, 0.9674, 0.9692, 0.9661, 0.9691]"
5120 "[0.984, 0.9835, 0.9842, 0.9841, 0.9843, 0.9841, 0.9837, 0.984, 0.9841, 0.9839, 0.9841, 0.9837, 0.9836, 0.9841, 0.9844, 0.9837, 0.9845, 0.9836, 0.9842, 0.9835]" "[0.9824, 0.982, 0.9811, 0.9825, 0.9807, 0.9819, 0.983, 0.9813, 0.9827, 0.9819, 0.9816, 0.9811, 0.9818, 0.9821, 0.9814, 0.9824, 0.9816, 0.9811, 0.9815, 0.9818]" "[0.9698, 0.9703, 0.9722, 0.9717, 0.9713, 0.9719, 0.972, 0.9719, 0.9722, 0.9722, 0.9721, 0.9706, 0.9723, 0.9717, 0.9719, 0.9716, 0.9728, 0.9719, 0.9715, 0.9703]"
