 Linear2 Linear1 Linear0
10 "[0.9563, 0.9797, 0.9518, 0.9777, 0.9745, 0.9808, 0.9655, 0.9766, 0.9782, 0.9499, 0.9576, 0.9781, 0.9728, 0.9667, 0.9751, 0.9778, 0.9739, 0.9795, 0.9574, 0.9743, 0.978, 0.9627, 0.9693, 0.9745, 0.9781, 0.9745, 0.9803, 0.9626, 0.9793, 0.9529, 0.9699, 0.9789, 0.9793, 0.9686, 0.9782, 0.9544, 0.9791, 0.9741, 0.9786, 0.9677]" "[0.9367, 0.9249, 0.9275, 0.9383, 0.9371, 0.9353, 0.9365, 0.9337, 0.9266, 0.929, 0.9303, 0.938, 0.939, 0.9335, 0.9347, 0.9211, 0.9363, 0.9276, 0.9342, 0.9379, 0.9362, 0.9373, 0.9308, 0.932, 0.9261, 0.9366, 0.938, 0.9337, 0.9365, 0.9232, 0.9368, 0.9387, 0.9404, 0.9366, 0.9294, 0.9327, 0.9384, 0.9357, 0.9317, 0.934]" "[0.4972, 0.4957, 0.5076, 0.5048, 0.4946, 0.4938, 0.4999, 0.4988, 0.5013, 0.4981, 0.4873, 0.5056, 0.5005, 0.5011, 0.5005, 0.5072, 0.5026, 0.4812, 0.507, 0.4793, 0.478, 0.5027, 0.5052, 0.4978, 0.5049, 0.4947, 0.4913, 0.5021, 0.5006, 0.4999, 0.4957, 0.4811, 0.5087, 0.5076, 0.4952, 0.4993, 0.5025, 0.5088, 0.5039, 0.4988]"
20 "[0.9768, 0.9735, 0.9778, 0.9811, 0.9764, 0.9789, 0.9808, 0.9788, 0.9808, 0.9788, 0.9817, 0.9796, 0.9767, 0.9797, 0.9763, 0.9826, 0.9788, 0.979, 0.9762, 0.9818, 0.9777, 0.9832, 0.9772, 0.9782, 0.9808, 0.9724, 0.9783, 0.9815, 0.9823, 0.9839, 0.983, 0.9816, 0.9775, 0.9759, 0.9806, 0.981, 0.9839, 0.9808, 0.9789, 0.979]" "[0.9608, 0.9645, 0.9564, 0.9546, 0.9596, 0.9575, 0.9525, 0.9626, 0.9475, 0.9567, 0.9595, 0.9549, 0.9555, 0.9525, 0.9611, 0.9555, 0.9496, 0.95, 0.9457, 0.9627, 0.9598, 0.9647, 0.9545, 0.9607, 0.9553, 0.9532, 0.9487, 0.9596, 0.9487, 0.9598, 0.9544, 0.9562, 0.9538, 0.9592, 0.9669, 0.9597, 0.9509, 0.9487, 0.9526, 0.9589]" "[0.5513, 0.5302, 0.5636, 0.6026, 0.531, 0.5857, 0.5479, 0.5779, 0.5575, 0.5754, 0.5882, 0.5641, 0.5617, 0.5648, 0.6084, 0.5514, 0.5248, 0.5836, 0.5793, 0.602, 0.5927, 0.5782, 0.575, 0.5483, 0.5705, 0.5697, 0.563, 0.5957, 0.596, 0.5989, 0.5914, 0.5373, 0.5827, 0.5852, 0.5796, 0.5739, 0.5845, 0.5734, 0.5581, 0.5482]"
40 "[0.9797, 0.9819, 0.9774, 0.9789, 0.9775, 0.9785, 0.9771, 0.9792, 0.9787, 0.98, 0.9785, 0.9781, 0.9791, 0.9779, 0.9777, 0.9792, 0.9782, 0.9754, 0.976, 0.9778, 0.9782, 0.9778, 0.9768, 0.9788, 0.974, 0.9778, 0.9799, 0.9806, 0.9779, 0.9807, 0.979, 0.975, 0.9765, 0.975, 0.9813, 0.9767, 0.9789, 0.9786, 0.9806, 0.9797]" "[0.9759, 0.9739, 0.9706, 0.9666, 0.972, 0.9731, 0.9721, 0.9733, 0.9737, 0.9711, 0.9763, 0.9753, 0.9736, 0.9726, 0.9754, 0.9706, 0.9741, 0.9701, 0.9732, 0.9725, 0.9734, 0.9701, 0.9737, 0.9688, 0.9733, 0.9742, 0.971, 0.9725, 0.9734, 0.9712, 0.9743, 0.9713, 0.9749, 0.9731, 0.9757, 0.9761, 0.9727, 0.9734, 0.9744, 0.9715]" "[0.7953, 0.79, 0.7958, 0.7959, 0.7877, 0.8184, 0.7911, 0.7927, 0.7856, 0.7902, 0.7962, 0.7741, 0.7837, 0.8027, 0.7921, 0.8073, 0.8078, 0.7848, 0.7932, 0.8001, 0.7956, 0.8045, 0.7958, 0.7991, 0.8043, 0.7974, 0.7893, 0.7968, 0.7949, 0.8109, 0.805, 0.7937, 0.8054, 0.7892, 0.7977, 0.7944, 0.7904, 0.7957, 0.8008, 0.7795]"
80 "[0.982, 0.9816, 0.9813, 0.982, 0.9816, 0.9815, 0.9797, 0.982, 0.9801, 0.9811, 0.9803, 0.983, 0.9816, 0.983, 0.9815, 0.9793, 0.9817, 0.9813, 0.9814, 0.9811, 0.9805, 0.9833, 0.9808, 0.9798, 0.9808, 0.9821, 0.9822, 0.982, 0.9814, 0.9808, 0.9813, 0.9807, 0.9807, 0.9791, 0.9818, 0.9803, 0.9796, 0.9826, 0.9808, 0.9804]" "[0.9813, 0.9813, 0.9828, 0.9834, 0.9817, 0.9826, 0.9812, 0.9814, 0.9827, 0.9752, 0.9793, 0.9819, 0.9815, 0.9805, 0.9831, 0.9818, 0.9815, 0.9814, 0.9782, 0.9822, 0.9795, 0.9824, 0.9795, 0.9824, 0.9798, 0.9815, 0.982, 0.9809, 0.9705, 0.981, 0.9815, 0.9796, 0.98, 0.9823, 0.9814, 0.9818, 0.9777, 0.9783, 0.9791, 0.9824]" "[0.89, 0.8878, 0.8881, 0.8918, 0.8857, 0.8997, 0.8908, 0.8916, 0.8904, 0.907, 0.8961, 0.8967, 0.8846, 0.8939, 0.896, 0.8942, 0.895, 0.8833, 0.8903, 0.8918, 0.8943, 0.8924, 0.8946, 0.8946, 0.8921, 0.8923, 0.8953, 0.8961, 0.8952, 0.8978, 0.8903, 0.8925, 0.8925, 0.8932, 0.8928, 0.8889, 0.8898, 0.8996, 0.8894, 0.9062]"
160 "[0.9763, 0.9708, 0.9776, 0.9749, 0.9779, 0.9727, 0.9746, 0.9744, 0.9743, 0.9753, 0.9721, 0.9782, 0.9751, 0.9771, 0.9725, 0.9737, 0.9735, 0.9759, 0.9733, 0.9737, 0.975, 0.9797, 0.9745, 0.9732, 0.9729, 0.9765, 0.9702, 0.9748, 0.9748, 0.9766, 0.9757, 0.9718, 0.9739, 0.9743, 0.9741, 0.9776, 0.9772, 0.9758, 0.974, 0.9766]" "[0.9832, 0.9826, 0.9837, 0.9825, 0.9841, 0.9816, 0.983, 0.984, 0.982, 0.983, 0.9826, 0.9837, 0.983, 0.9835, 0.9833, 0.9825, 0.9839, 0.9834, 0.9832, 0.9831, 0.9834, 0.9834, 0.9839, 0.9831, 0.9831, 0.9833, 0.9828, 0.9842, 0.9836, 0.9834, 0.9831, 0.9839, 0.9831, 0.9835, 0.9831, 0.9827, 0.9829, 0.9829, 0.9826, 0.9831]" "[0.935, 0.9419, 0.933, 0.9345, 0.9402, 0.9349, 0.9406, 0.9398, 0.9374, 0.9339, 0.9338, 0.9415, 0.9359, 0.9407, 0.9417, 0.9395, 0.9379, 0.9395, 0.9385, 0.9362, 0.9396, 0.9349, 0.9371, 0.9389, 0.9348, 0.9434, 0.9366, 0.9287, 0.9382, 0.942, 0.9367, 0.937, 0.9379, 0.9387, 0.942, 0.9413, 0.9379, 0.9408, 0.9387, 0.9352]"
320 "[0.9807, 0.9731, 0.9756, 0.9711, 0.9701, 0.9734, 0.9711, 0.9731, 0.9737, 0.9713, 0.9713, 0.9725, 0.9703, 0.9792, 0.9722, 0.9778, 0.9714, 0.9709, 0.9738, 0.9751, 0.9706, 0.9756, 0.9745, 0.9716, 0.9712, 0.9799, 0.9726, 0.9738, 0.9716, 0.9753, 0.9747, 0.9753, 0.9686, 0.9712, 0.9754, 0.9726, 0.9732, 0.967, 0.9715, 0.9729]" "[0.9816, 0.9834, 0.9833, 0.9827, 0.9832, 0.9833, 0.9829, 0.9825, 0.9827, 0.9821, 0.9829, 0.9821, 0.9823, 0.9834, 0.9832, 0.983, 0.9828, 0.9836, 0.9826, 0.983, 0.9822, 0.9825, 0.983, 0.9828, 0.9829, 0.984, 0.9826, 0.9824, 0.9835, 0.9824, 0.983, 0.9828, 0.9828, 0.9829, 0.9825, 0.9829, 0.9814, 0.9823, 0.9814, 0.9823]" "[0.9507, 0.9479, 0.9549, 0.9579, 0.956, 0.952, 0.955, 0.9518, 0.9549, 0.9541, 0.9507, 0.9531, 0.9573, 0.9486, 0.9546, 0.9538, 0.9538, 0.9558, 0.9556, 0.9538, 0.9554, 0.9522, 0.9539, 0.9465, 0.952, 0.9533, 0.9486, 0.955, 0.9581, 0.9504, 0.9526, 0.9561, 0.9577, 0.9574, 0.9537, 0.9534, 0.9559, 0.9542, 0.9522, 0.9491]"
640 "[0.9803, 0.98, 0.9785, 0.977, 0.9795, 0.9791, 0.9807, 0.9809, 0.9783, 0.9762, 0.9784, 0.9799, 0.9796, 0.979, 0.9801, 0.9797, 0.982, 0.9772, 0.976, 0.9779, 0.9803, 0.9814, 0.979, 0.9794, 0.9799, 0.9791, 0.9804, 0.9798, 0.9779, 0.9812, 0.9799, 0.977, 0.9769, 0.9813, 0.9813, 0.9814, 0.9796, 0.9778, 0.982, 0.9801]" "[0.9829, 0.983, 0.9826, 0.9838, 0.9829, 0.9829, 0.9836, 0.9829, 0.9826, 0.9828, 0.9828, 0.9831, 0.9836, 0.9829, 0.9828, 0.983, 0.9833, 0.9834, 0.983, 0.9823, 0.9824, 0.9832, 0.9829, 0.9829, 0.9829, 0.9831, 0.9831, 0.9833, 0.9836, 0.9832, 0.9833, 0.983, 0.9832, 0.9824, 0.9831, 0.9831, 0.9832, 0.983, 0.9832, 0.9824]" "[0.9592, 0.9576, 0.9576, 0.9596, 0.9592, 0.9583, 0.9593, 0.9598, 0.9584, 0.9601, 0.9619, 0.9617, 0.9589, 0.9601, 0.9599, 0.96, 0.9601, 0.9615, 0.9567, 0.9576, 0.9576, 0.9591, 0.9585, 0.9577, 0.9608, 0.96, 0.9613, 0.9615, 0.9591, 0.9602, 0.9599, 0.9594, 0.9574, 0.9596, 0.9597, 0.9597, 0.9599, 0.959, 0.9608, 0.9623]"
1280 "[0.9822, 0.9811, 0.9829, 0.9832, 0.9817, 0.9813, 0.9824, 0.9832, 0.9824, 0.9823, 0.9838, 0.9837, 0.9819, 0.9814, 0.9823, 0.9818, 0.9829, 0.9825, 0.9817, 0.9817, 0.9825, 0.9822, 0.9832, 0.9817, 0.983, 0.9812, 0.9822, 0.9825, 0.982, 0.9832, 0.9829, 0.9808, 0.9827, 0.9822, 0.9816, 0.9818, 0.9831, 0.9808, 0.9831, 0.9816]" "[0.9832, 0.9838, 0.9827, 0.9832, 0.9834, 0.9831, 0.9836, 0.9831, 0.9834, 0.9827, 0.9831, 0.9836, 0.9824, 0.983, 0.9832, 0.9835, 0.9835, 0.9829, 0.9831, 0.9828, 0.9835, 0.9838, 0.9836, 0.9831, 0.9834, 0.9832, 0.9836, 0.9836, 0.9828, 0.9827, 0.983, 0.9834, 0.9832, 0.9835, 0.9829, 0.9834, 0.9837, 0.9826, 0.9826, 0.9842]" "[0.967, 0.9654, 0.9673, 0.9651, 0.966, 0.9652, 0.9639, 0.9663, 0.9652, 0.9678, 0.9688, 0.9662, 0.968, 0.963, 0.9669, 0.9661, 0.9655, 0.9668, 0.964, 0.9666, 0.9676, 0.9666, 0.9655, 0.9665, 0.9622, 0.9661, 0.9643, 0.9658, 0.9657, 0.9647, 0.9637, 0.9673, 0.9648, 0.9651, 0.9672, 0.9646, 0.9651, 0.9634, 0.9679, 0.9656]"
2560 "[0.9828, 0.9811, 0.9814, 0.9812, 0.9824, 0.9829, 0.9822, 0.9817, 0.9822, 0.9821, 0.9826, 0.9814, 0.9822, 0.983, 0.9823, 0.9821, 0.982, 0.9828, 0.9827, 0.983, 0.9821, 0.983, 0.982, 0.9815, 0.9825, 0.9822, 0.9821, 0.9821, 0.9824, 0.9822, 0.982, 0.9825, 0.9821, 0.9814, 0.9819, 0.9827, 0.9836, 0.9823, 0.9835, 0.9816]" "[0.9833, 0.9831, 0.9835, 0.9834, 0.9833, 0.9837, 0.9835, 0.9832, 0.9837, 0.9834, 0.9833, 0.9832, 0.9835, 0.9836, 0.9835, 0.9831, 0.9833, 0.9835, 0.9832, 0.9834, 0.9834, 0.9833, 0.9832, 0.9834, 0.9834, 0.9833, 0.9832, 0.9836, 0.9837, 0.9835, 0.9835, 0.9835, 0.9834, 0.9828, 0.9836, 0.9831, 0.9835, 0.9832, 0.9835, 0.9836]" "[0.9713, 0.9707, 0.9702, 0.9704, 0.9692, 0.9712, 0.9702, 0.9707, 0.9713, 0.9699, 0.9715, 0.9691, 0.9718, 0.9701, 0.9731, 0.9725, 0.9709, 0.9706, 0.9693, 0.9721, 0.9702, 0.9712, 0.9711, 0.9703, 0.9702, 0.9708, 0.9712, 0.9696, 0.9701, 0.9701, 0.9694, 0.9704, 0.97, 0.9716, 0.9724, 0.9711, 0.9701, 0.9714, 0.9706, 0.9702]"
5120 "[0.9841, 0.9845, 0.984, 0.9838, 0.9842, 0.9843, 0.9844, 0.9844, 0.9839, 0.9839, 0.9842, 0.9842, 0.9843, 0.9844, 0.9844, 0.9842, 0.9839, 0.9838, 0.984, 0.9844, 0.9844, 0.9836, 0.9846, 0.9843, 0.9839, 0.9849, 0.9844, 0.9835, 0.984, 0.9849, 0.9841, 0.9848, 0.9839, 0.9843, 0.9837, 0.9839, 0.9839, 0.9842, 0.9842, 0.9844]" "[0.9838, 0.9835, 0.9838, 0.9837, 0.9841, 0.9842, 0.9835, 0.9839, 0.9839, 0.9841, 0.9837, 0.9836, 0.9837, 0.9833, 0.9836, 0.9838, 0.984, 0.9832, 0.9843, 0.9838, 0.984, 0.9836, 0.9842, 0.9839, 0.9838, 0.9834, 0.9834, 0.9838, 0.9837, 0.9845, 0.9836, 0.9832, 0.9839, 0.9835, 0.9839, 0.9839, 0.9838, 0.9839, 0.9835, 0.9842]" "[0.9738, 0.9747, 0.9738, 0.975, 0.974, 0.9749, 0.9739, 0.9748, 0.9747, 0.974, 0.9737, 0.975, 0.9741, 0.9735, 0.9734, 0.9729, 0.9736, 0.9726, 0.9737, 0.9732, 0.9737, 0.9747, 0.9743, 0.9738, 0.9743, 0.9723, 0.9749, 0.9746, 0.9758, 0.9751, 0.9741, 0.9748, 0.9754, 0.9726, 0.9752, 0.9745, 0.9736, 0.9729, 0.9748, 0.9747]"
