 Linear2 Linear1 Linear0
10 "[0.8779, 0.8792, 0.8724, 0.8794, 0.8789, 0.8793, 0.8755, 0.8784, 0.8787, 0.8775, 0.8796, 0.8785, 0.879, 0.8752, 0.8791, 0.8783, 0.881, 0.8791, 0.8794, 0.8792, 0.8798, 0.8787, 0.8789, 0.8781, 0.8793, 0.8782, 0.8765, 0.8799, 0.8787, 0.8795, 0.8787, 0.88, 0.879, 0.8795, 0.8789, 0.8793, 0.8801, 0.8793, 0.8797, 0.8792]" "[0.753, 0.7299, 0.7488, 0.7475, 0.7453, 0.7625, 0.7473, 0.7465, 0.7651, 0.7383, 0.7531, 0.7508, 0.7577, 0.7484, 0.7438, 0.6946, 0.7551, 0.7446, 0.7393, 0.7505, 0.7633, 0.7455, 0.739, 0.7542, 0.7401, 0.7496, 0.7485, 0.7459, 0.7505, 0.744, 0.7499, 0.7525, 0.7394, 0.7351, 0.7302, 0.7437, 0.7607, 0.7733, 0.743, 0.7505]" "[0.3475, 0.3418, 0.3446, 0.3456, 0.3357, 0.3523, 0.3555, 0.3605, 0.3478, 0.3507, 0.3456, 0.3564, 0.3505, 0.3541, 0.3393, 0.3418, 0.3516, 0.3489, 0.3687, 0.3436, 0.3462, 0.3511, 0.3501, 0.3536, 0.3422, 0.3517, 0.344, 0.3569, 0.3515, 0.3559, 0.3367, 0.3445, 0.3591, 0.3503, 0.343, 0.3537, 0.3413, 0.3582, 0.3492, 0.3489]"
20 "[0.9791, 0.9785, 0.9801, 0.98, 0.9784, 0.9775, 0.9796, 0.9789, 0.9781, 0.9765, 0.9768, 0.9785, 0.9795, 0.9794, 0.9782, 0.9791, 0.9781, 0.979, 0.978, 0.9798, 0.9801, 0.9788, 0.9785, 0.9795, 0.9793, 0.9769, 0.9786, 0.9785, 0.979, 0.9773, 0.9794, 0.9793, 0.9774, 0.9794, 0.9787, 0.9792, 0.9788, 0.9786, 0.9753, 0.979]" "[0.8087, 0.804, 0.825, 0.8264, 0.8104, 0.8153, 0.8192, 0.8148, 0.8049, 0.8124, 0.8289, 0.8164, 0.8232, 0.8143, 0.7782, 0.8147, 0.7983, 0.8013, 0.792, 0.7727, 0.797, 0.808, 0.8166, 0.8212, 0.8106, 0.811, 0.8107, 0.8222, 0.8044, 0.8191, 0.7558, 0.8077, 0.8139, 0.8183, 0.8145, 0.8067, 0.8041, 0.8025, 0.7913, 0.8017]" "[0.536, 0.534, 0.5543, 0.5831, 0.5252, 0.5512, 0.5053, 0.5468, 0.5326, 0.5311, 0.556, 0.5398, 0.5359, 0.544, 0.558, 0.517, 0.5218, 0.5479, 0.5514, 0.5497, 0.5487, 0.559, 0.5633, 0.5564, 0.5495, 0.5402, 0.5143, 0.572, 0.5903, 0.5681, 0.5579, 0.5169, 0.5287, 0.5363, 0.5658, 0.5678, 0.5439, 0.5449, 0.5443, 0.5157]"
40 "[0.9792, 0.9794, 0.9794, 0.9804, 0.9802, 0.98, 0.9802, 0.9807, 0.9799, 0.9809, 0.9796, 0.9787, 0.9801, 0.9798, 0.9806, 0.9802, 0.9803, 0.9806, 0.9795, 0.9794, 0.9795, 0.9785, 0.9802, 0.9797, 0.9799, 0.9794, 0.9796, 0.9799, 0.9808, 0.9803, 0.9805, 0.9793, 0.9801, 0.9802, 0.9794, 0.9802, 0.9803, 0.9807, 0.9807, 0.9781]" "[0.9399, 0.9367, 0.9309, 0.925, 0.9185, 0.9184, 0.929, 0.9218, 0.9467, 0.9406, 0.9256, 0.9328, 0.9286, 0.9263, 0.9424, 0.9233, 0.9422, 0.9218, 0.9415, 0.9123, 0.9403, 0.9126, 0.9427, 0.9369, 0.9448, 0.9424, 0.9302, 0.9374, 0.9188, 0.9232, 0.9282, 0.9257, 0.9296, 0.921, 0.9395, 0.9093, 0.9349, 0.9318, 0.9215, 0.9276]" "[0.7478, 0.7913, 0.759, 0.7608, 0.7743, 0.7634, 0.747, 0.7719, 0.7727, 0.7342, 0.7787, 0.744, 0.7388, 0.7751, 0.7897, 0.7415, 0.7538, 0.7731, 0.7535, 0.7691, 0.7528, 0.7787, 0.7505, 0.7792, 0.7533, 0.7661, 0.7354, 0.7476, 0.7721, 0.7714, 0.7895, 0.7846, 0.7786, 0.7555, 0.761, 0.7818, 0.7316, 0.7901, 0.7721, 0.755]"
80 "[0.9803, 0.9805, 0.9808, 0.9809, 0.9806, 0.9807, 0.9809, 0.9812, 0.9802, 0.9807, 0.9815, 0.982, 0.981, 0.9802, 0.9806, 0.98, 0.9805, 0.9809, 0.981, 0.981, 0.9804, 0.9796, 0.9809, 0.9811, 0.981, 0.9808, 0.9806, 0.9805, 0.981, 0.9818, 0.98, 0.979, 0.981, 0.9807, 0.9814, 0.978, 0.9812, 0.9817, 0.9811, 0.9805]" "[0.9639, 0.9633, 0.9655, 0.958, 0.9663, 0.9659, 0.963, 0.9652, 0.9634, 0.9652, 0.9619, 0.9653, 0.9602, 0.9656, 0.9631, 0.9633, 0.9675, 0.9658, 0.9634, 0.9597, 0.9614, 0.9625, 0.9602, 0.9613, 0.9651, 0.9683, 0.9636, 0.9655, 0.9645, 0.9632, 0.9635, 0.9643, 0.9646, 0.9631, 0.9654, 0.9655, 0.9648, 0.9652, 0.9629, 0.9646]" "[0.8753, 0.8742, 0.8708, 0.8731, 0.871, 0.8827, 0.8671, 0.8817, 0.8783, 0.8721, 0.8685, 0.8776, 0.8764, 0.8743, 0.8842, 0.8706, 0.8758, 0.8783, 0.8782, 0.8694, 0.8725, 0.8716, 0.8788, 0.8779, 0.8689, 0.8678, 0.8778, 0.8816, 0.8773, 0.8784, 0.8866, 0.8709, 0.8755, 0.8651, 0.877, 0.8725, 0.8743, 0.8747, 0.873, 0.8689]"
160 "[0.9812, 0.9803, 0.9798, 0.9803, 0.98, 0.9808, 0.9807, 0.9796, 0.9805, 0.9809, 0.9811, 0.9812, 0.981, 0.9801, 0.9809, 0.9801, 0.9809, 0.9802, 0.9814, 0.9807, 0.9804, 0.9806, 0.9799, 0.9805, 0.9792, 0.9805, 0.9808, 0.9812, 0.9802, 0.9803, 0.9805, 0.9807, 0.9808, 0.9813, 0.9802, 0.9797, 0.9807, 0.9807, 0.98, 0.9805]" "[0.9683, 0.966, 0.9658, 0.9662, 0.967, 0.9665, 0.9671, 0.9669, 0.9683, 0.9656, 0.9636, 0.9675, 0.966, 0.9664, 0.9676, 0.9679, 0.9634, 0.967, 0.9657, 0.9668, 0.9687, 0.9681, 0.967, 0.9654, 0.966, 0.9618, 0.9674, 0.9664, 0.9661, 0.9666, 0.9662, 0.9675, 0.9663, 0.9677, 0.9659, 0.9662, 0.9661, 0.9644, 0.9677, 0.9664]" "[0.8995, 0.9104, 0.9071, 0.905, 0.9118, 0.9103, 0.9089, 0.9124, 0.9061, 0.904, 0.9051, 0.9086, 0.9082, 0.9105, 0.9124, 0.9109, 0.9017, 0.9023, 0.9071, 0.9107, 0.9108, 0.9068, 0.9115, 0.9079, 0.8997, 0.9128, 0.9028, 0.9049, 0.911, 0.908, 0.9023, 0.9113, 0.9052, 0.9091, 0.9134, 0.909, 0.9147, 0.9107, 0.9126, 0.9112]"
320 "[0.981, 0.9814, 0.9812, 0.9803, 0.9812, 0.9813, 0.9805, 0.9805, 0.9813, 0.9811, 0.9815, 0.9809, 0.9817, 0.9808, 0.9816, 0.9818, 0.9806, 0.9815, 0.9813, 0.9812, 0.981, 0.981, 0.9817, 0.9813, 0.9815, 0.9804, 0.9802, 0.9812, 0.9806, 0.9802, 0.9807, 0.9808, 0.9806, 0.9812, 0.9817, 0.9811, 0.9812, 0.9811, 0.9809, 0.981]" "[0.9753, 0.9735, 0.976, 0.9732, 0.9732, 0.9746, 0.9736, 0.9733, 0.9748, 0.9723, 0.9714, 0.9734, 0.9742, 0.9747, 0.9735, 0.9736, 0.974, 0.9735, 0.9743, 0.9743, 0.9752, 0.9742, 0.9721, 0.9748, 0.9738, 0.9749, 0.9709, 0.9745, 0.9748, 0.9742, 0.9722, 0.9733, 0.9744, 0.975, 0.9744, 0.9744, 0.9734, 0.9731, 0.9752, 0.9751]" "[0.9413, 0.9331, 0.9378, 0.9398, 0.9416, 0.9367, 0.9388, 0.939, 0.9402, 0.9358, 0.9441, 0.936, 0.9395, 0.9362, 0.9391, 0.9385, 0.9369, 0.9388, 0.9418, 0.934, 0.9369, 0.9337, 0.9367, 0.9394, 0.937, 0.9383, 0.9378, 0.9355, 0.9401, 0.9381, 0.9395, 0.9382, 0.9418, 0.9401, 0.9368, 0.9351, 0.9342, 0.9361, 0.9354, 0.9367]"
640 "[0.9796, 0.9811, 0.9816, 0.9807, 0.9811, 0.9809, 0.9811, 0.9809, 0.9809, 0.9804, 0.9803, 0.9806, 0.9815, 0.9808, 0.9808, 0.9807, 0.9809, 0.9811, 0.9805, 0.9804, 0.9811, 0.9812, 0.9812, 0.9809, 0.9809, 0.9805, 0.9819, 0.9814, 0.9806, 0.9805, 0.9812, 0.9808, 0.9809, 0.9809, 0.9805, 0.9814, 0.9805, 0.9804, 0.9813, 0.9816]" "[0.9766, 0.9769, 0.9775, 0.9763, 0.976, 0.9747, 0.9755, 0.9768, 0.977, 0.9769, 0.9745, 0.9763, 0.9769, 0.9768, 0.9757, 0.9767, 0.9782, 0.9768, 0.9761, 0.9753, 0.9768, 0.9761, 0.9752, 0.9758, 0.9763, 0.9771, 0.9756, 0.9761, 0.9769, 0.9767, 0.9771, 0.976, 0.9764, 0.9765, 0.9766, 0.9768, 0.9775, 0.9762, 0.9761, 0.9765]" "[0.9511, 0.9487, 0.9509, 0.9524, 0.9514, 0.9504, 0.9497, 0.9522, 0.9505, 0.9526, 0.9521, 0.9539, 0.9505, 0.9539, 0.9521, 0.951, 0.9528, 0.9497, 0.954, 0.9513, 0.9534, 0.9538, 0.949, 0.9533, 0.9541, 0.9543, 0.9498, 0.9521, 0.951, 0.9527, 0.9542, 0.9546, 0.9492, 0.9545, 0.9539, 0.9536, 0.9538, 0.9524, 0.9543, 0.9537]"
1280 "[0.9808, 0.9801, 0.9805, 0.9809, 0.9807, 0.9809, 0.9799, 0.981, 0.9799, 0.9808, 0.981, 0.9805, 0.9809, 0.9811, 0.9812, 0.9817, 0.9803, 0.9811, 0.9801, 0.9806, 0.9808, 0.9806, 0.9807, 0.9801, 0.9806, 0.9811, 0.9809, 0.9811, 0.9801, 0.9813, 0.9815, 0.9797, 0.9808, 0.9808, 0.9805, 0.9808, 0.9804, 0.9808, 0.9809, 0.9805]" "[0.9777, 0.9775, 0.9768, 0.9778, 0.9774, 0.9783, 0.9776, 0.9783, 0.9792, 0.9781, 0.9771, 0.978, 0.9796, 0.9773, 0.978, 0.9776, 0.9782, 0.9771, 0.9772, 0.9785, 0.9787, 0.9781, 0.9776, 0.9773, 0.9771, 0.977, 0.9773, 0.9776, 0.9784, 0.9781, 0.9773, 0.9781, 0.9784, 0.9767, 0.9782, 0.9782, 0.9781, 0.9783, 0.9778, 0.9781]" "[0.9608, 0.9569, 0.962, 0.9593, 0.9612, 0.958, 0.9596, 0.961, 0.9618, 0.9612, 0.9615, 0.9639, 0.9579, 0.96, 0.9593, 0.9591, 0.9605, 0.9585, 0.9597, 0.9596, 0.963, 0.959, 0.9615, 0.9568, 0.9579, 0.9606, 0.9608, 0.9616, 0.9581, 0.9576, 0.9592, 0.9611, 0.961, 0.9586, 0.9618, 0.9562, 0.9588, 0.9597, 0.9596, 0.9561]"
2560 "[0.9809, 0.9801, 0.9805, 0.9808, 0.982, 0.9801, 0.9803, 0.9808, 0.9816, 0.9808, 0.9816, 0.9805, 0.9809, 0.9807, 0.9809, 0.9804, 0.9805, 0.9807, 0.9806, 0.981, 0.9809, 0.9802, 0.9803, 0.9808, 0.9809, 0.9811, 0.9812, 0.9809, 0.9804, 0.9806, 0.9808, 0.9808, 0.9807, 0.9809, 0.9804, 0.9806, 0.9807, 0.982, 0.9809, 0.9805]" "[0.9779, 0.9779, 0.9775, 0.9777, 0.9789, 0.978, 0.9784, 0.9783, 0.9783, 0.9784, 0.9788, 0.9783, 0.9783, 0.9784, 0.9792, 0.9783, 0.9777, 0.9775, 0.9784, 0.978, 0.9792, 0.979, 0.9782, 0.9789, 0.9786, 0.9786, 0.9784, 0.9778, 0.9785, 0.9782, 0.9788, 0.9782, 0.9788, 0.9785, 0.9787, 0.9784, 0.9781, 0.9788, 0.9789, 0.9774]" "[0.9681, 0.9662, 0.9661, 0.9679, 0.9668, 0.9667, 0.967, 0.9659, 0.9675, 0.9699, 0.9668, 0.9681, 0.9685, 0.9678, 0.9678, 0.9667, 0.9673, 0.9679, 0.9663, 0.9684, 0.9661, 0.9666, 0.9678, 0.9668, 0.9665, 0.9692, 0.9688, 0.9667, 0.9665, 0.9667, 0.9665, 0.9676, 0.9667, 0.9663, 0.967, 0.9689, 0.9672, 0.9704, 0.9672, 0.9674]"
5120 "[0.9806, 0.9801, 0.98, 0.98, 0.9802, 0.9804, 0.98, 0.9806, 0.9809, 0.9797, 0.9803, 0.9803, 0.9797, 0.9802, 0.9807, 0.9796, 0.981, 0.9796, 0.9807, 0.9806, 0.9806, 0.9808, 0.9808, 0.9798, 0.9803, 0.9802, 0.98, 0.9802, 0.98, 0.9801, 0.9802, 0.9802, 0.9803, 0.9802, 0.9809, 0.981, 0.98, 0.9805, 0.9797, 0.9803]" "[0.9785, 0.9795, 0.9797, 0.9789, 0.9786, 0.9795, 0.9794, 0.9783, 0.9792, 0.9784, 0.979, 0.9792, 0.9792, 0.9793, 0.9794, 0.9793, 0.9782, 0.9789, 0.9784, 0.9795, 0.9783, 0.9792, 0.9782, 0.9782, 0.979, 0.9794, 0.9796, 0.9793, 0.9789, 0.9787, 0.9789, 0.9785, 0.9793, 0.9789, 0.9798, 0.9798, 0.9795, 0.9789, 0.9792, 0.9795]" "[0.9732, 0.9729, 0.9739, 0.9735, 0.9746, 0.9729, 0.9736, 0.9727, 0.9726, 0.9752, 0.9721, 0.9748, 0.9729, 0.9722, 0.9726, 0.9724, 0.9717, 0.9758, 0.9746, 0.9735, 0.9731, 0.9736, 0.9733, 0.9738, 0.9743, 0.9729, 0.9732, 0.9738, 0.9749, 0.9734, 0.9728, 0.9743, 0.9733, 0.9724, 0.9735, 0.9732, 0.9729, 0.9725, 0.9732, 0.9757]"
