 Linear2
10 "[0.9845, 0.9844, 0.9822, 0.9837, 0.984, 0.9853, 0.9841, 0.9846, 0.9824, 0.9851, 0.9832, 0.9836, 0.983, 0.9845, 0.9841, 0.9844, 0.9823, 0.9831, 0.9853, 0.9828, 0.9843, 0.9845, 0.9831, 0.9838, 0.9833, 0.9834, 0.9835, 0.9849, 0.9828, 0.9838, 0.9839, 0.9846, 0.9829, 0.9845, 0.9838, 0.9844, 0.9836, 0.9838, 0.983, 0.9831]"
20 "[0.9841, 0.984, 0.9846, 0.9842, 0.9842, 0.9841, 0.9838, 0.9835, 0.9842, 0.9832, 0.9825, 0.9843, 0.9835, 0.9848, 0.9841, 0.9845, 0.9822, 0.9844, 0.9843, 0.985, 0.9845, 0.9844, 0.9842, 0.9848, 0.9841, 0.9809, 0.9844, 0.9841, 0.9825, 0.9845, 0.9832, 0.9842, 0.9846, 0.9845, 0.9834, 0.9843, 0.9839, 0.985, 0.9818, 0.984]"
40 "[0.9835, 0.9835, 0.9852, 0.9853, 0.9852, 0.9849, 0.9844, 0.9848, 0.9846, 0.9859, 0.9851, 0.9848, 0.985, 0.9841, 0.9849, 0.9844, 0.9849, 0.985, 0.9842, 0.9846, 0.9851, 0.9845, 0.9849, 0.985, 0.9853, 0.9847, 0.9854, 0.9851, 0.9851, 0.9849, 0.9847, 0.9849, 0.9859, 0.9847, 0.9847, 0.9846, 0.985, 0.9854, 0.9844, 0.983]"
80 "[0.9853, 0.9837, 0.9855, 0.9851, 0.9854, 0.9858, 0.9857, 0.9841, 0.9851, 0.9851, 0.9851, 0.9857, 0.9847, 0.9854, 0.9845, 0.9856, 0.9857, 0.9855, 0.9845, 0.9846, 0.9846, 0.9852, 0.9847, 0.9838, 0.984, 0.9849, 0.9853, 0.9842, 0.9848, 0.9846, 0.9852, 0.9842, 0.9843, 0.985, 0.9853, 0.9857, 0.9843, 0.9841, 0.9849, 0.9849]"
160 "[0.9849, 0.9845, 0.9828, 0.9847, 0.9861, 0.9836, 0.9851, 0.9854, 0.9848, 0.9842, 0.9852, 0.9847, 0.9848, 0.9844, 0.9847, 0.9849, 0.9847, 0.9846, 0.9854, 0.9847, 0.9852, 0.9828, 0.9849, 0.9851, 0.985, 0.985, 0.9843, 0.9851, 0.9854, 0.9848, 0.9842, 0.9846, 0.9852, 0.9853, 0.985, 0.9852, 0.9853, 0.985, 0.9847, 0.9846]"
320 "[0.9849, 0.9854, 0.9844, 0.9843, 0.9848, 0.985, 0.985, 0.9849, 0.9844, 0.9853, 0.9852, 0.985, 0.9851, 0.9847, 0.9848, 0.9849, 0.9844, 0.9847, 0.9854, 0.9844, 0.9841, 0.9852, 0.9854, 0.9852, 0.985, 0.9849, 0.9858, 0.9854, 0.9855, 0.9835, 0.9847, 0.9848, 0.9841, 0.9843, 0.9846, 0.9851, 0.9855, 0.9847, 0.9844, 0.9843]"
640 "[0.9845, 0.9842, 0.985, 0.9852, 0.9853, 0.9844, 0.9848, 0.9844, 0.9842, 0.9836, 0.9836, 0.9848, 0.9854, 0.9855, 0.9848, 0.9846, 0.9853, 0.9846, 0.9842, 0.9852, 0.9843, 0.9833, 0.9848, 0.9854, 0.9849, 0.9846, 0.9843, 0.9855, 0.984, 0.9841, 0.985, 0.985, 0.9845, 0.9858, 0.9852, 0.9848, 0.9856, 0.9851, 0.9846, 0.9845]"
1280 "[0.9857, 0.9851, 0.9846, 0.9843, 0.9849, 0.9832, 0.9843, 0.9854, 0.9838, 0.9856, 0.9851, 0.9849, 0.9836, 0.985, 0.9851, 0.9846, 0.9845, 0.9844, 0.9852, 0.9852, 0.9829, 0.9849, 0.9849, 0.9843, 0.9854, 0.9843, 0.9842, 0.9849, 0.9839, 0.9838, 0.9849, 0.9848, 0.9832, 0.985, 0.9853, 0.9845, 0.9854, 0.9843, 0.9857, 0.9843]"
2560 "[0.9848, 0.9839, 0.984, 0.9836, 0.9842, 0.985, 0.9855, 0.9846, 0.9838, 0.985, 0.9846, 0.9844, 0.9849, 0.9855, 0.9841, 0.985, 0.9834, 0.9855, 0.9847, 0.9844, 0.9852, 0.9848, 0.985, 0.9847, 0.9853, 0.9847, 0.984, 0.9853, 0.9848, 0.9844, 0.9838, 0.9844, 0.9845, 0.9852, 0.985, 0.9845, 0.9838, 0.9851, 0.9849, 0.9847]"
5120 "[0.9842, 0.9849, 0.9847, 0.9844, 0.9846, 0.9843, 0.9836, 0.9835, 0.9844, 0.9842, 0.9844, 0.9842, 0.9848, 0.985, 0.9848, 0.9843, 0.9839, 0.9849, 0.9837, 0.9848, 0.9851, 0.9852, 0.9837, 0.9832, 0.9833, 0.9861, 0.9835, 0.9838, 0.9837, 0.9838, 0.9839, 0.9842, 0.9833, 0.9845, 0.9849, 0.984, 0.9844, 0.984, 0.9846, 0.9843]"
