 Linear2
10 "[0.9767, 0.9823, 0.9743, 0.9805, 0.9806, 0.9835, 0.9806, 0.9826, 0.9741, 0.9814, 0.9809, 0.9812, 0.9819, 0.9778, 0.9818, 0.9801, 0.9776, 0.9814, 0.9828, 0.9802, 0.9814, 0.9813, 0.9789, 0.9821, 0.9804, 0.9818, 0.982, 0.9821, 0.9806, 0.9798, 0.9831, 0.9824, 0.9777, 0.9821, 0.9816, 0.9821, 0.9825, 0.981, 0.9779, 0.9806]"
20 "[0.9834, 0.9818, 0.9834, 0.9826, 0.9834, 0.9822, 0.9836, 0.9829, 0.9827, 0.9821, 0.9806, 0.9839, 0.9834, 0.9832, 0.9833, 0.9829, 0.9844, 0.983, 0.9837, 0.9835, 0.9832, 0.9834, 0.9836, 0.9835, 0.9838, 0.9817, 0.9835, 0.9824, 0.9813, 0.9809, 0.9821, 0.9841, 0.9831, 0.9846, 0.9825, 0.9837, 0.9818, 0.9835, 0.9787, 0.9819]"
40 "[0.9817, 0.9839, 0.9839, 0.9848, 0.9839, 0.9835, 0.9838, 0.9823, 0.9841, 0.9834, 0.9838, 0.9845, 0.9838, 0.9836, 0.983, 0.9831, 0.9835, 0.9835, 0.9833, 0.9835, 0.9838, 0.9846, 0.9838, 0.985, 0.9837, 0.983, 0.9831, 0.9836, 0.9831, 0.9827, 0.9824, 0.983, 0.9841, 0.983, 0.9833, 0.9822, 0.9835, 0.9835, 0.9835, 0.979]"
80 "[0.9835, 0.9835, 0.983, 0.9844, 0.9827, 0.9839, 0.9827, 0.9834, 0.9823, 0.9823, 0.9827, 0.9843, 0.9837, 0.9835, 0.9834, 0.9844, 0.984, 0.9832, 0.9835, 0.9838, 0.9828, 0.9824, 0.9827, 0.9829, 0.9832, 0.9825, 0.9838, 0.9834, 0.984, 0.9841, 0.9827, 0.9826, 0.9826, 0.9838, 0.9835, 0.9839, 0.9847, 0.9838, 0.9841, 0.9817]"
160 "[0.9839, 0.9839, 0.9828, 0.9827, 0.9845, 0.9833, 0.983, 0.9834, 0.9835, 0.9831, 0.9844, 0.9839, 0.9831, 0.9829, 0.9812, 0.9826, 0.984, 0.9836, 0.9819, 0.9833, 0.9849, 0.9834, 0.9815, 0.9832, 0.984, 0.9837, 0.9839, 0.9831, 0.983, 0.9843, 0.984, 0.9829, 0.9834, 0.9845, 0.9829, 0.9827, 0.9825, 0.9837, 0.9837, 0.9838]"
320 "[0.9838, 0.983, 0.9831, 0.9831, 0.9815, 0.9828, 0.9832, 0.9831, 0.983, 0.9841, 0.9843, 0.9833, 0.9832, 0.9821, 0.9831, 0.984, 0.9833, 0.9839, 0.9819, 0.9832, 0.9831, 0.9838, 0.984, 0.9831, 0.9846, 0.9834, 0.9823, 0.9839, 0.9841, 0.9819, 0.9829, 0.9835, 0.9846, 0.9828, 0.9823, 0.9822, 0.9823, 0.9827, 0.9818, 0.9841]"
640 "[0.9825, 0.9823, 0.9833, 0.9828, 0.984, 0.9824, 0.9835, 0.9845, 0.9836, 0.9838, 0.9835, 0.9837, 0.9828, 0.9826, 0.9829, 0.9833, 0.983, 0.9846, 0.9833, 0.9833, 0.9829, 0.9835, 0.9834, 0.9837, 0.9821, 0.9837, 0.9818, 0.9834, 0.9833, 0.9823, 0.9833, 0.9841, 0.9798, 0.9821, 0.9833, 0.9832, 0.9833, 0.9833, 0.9846, 0.9841]"
1280 "[0.9829, 0.9841, 0.9837, 0.9837, 0.9836, 0.9831, 0.9837, 0.9834, 0.9834, 0.984, 0.9831, 0.9851, 0.9833, 0.983, 0.984, 0.9831, 0.9837, 0.9823, 0.9823, 0.9842, 0.9822, 0.9841, 0.9835, 0.9842, 0.9836, 0.9827, 0.9831, 0.9828, 0.9836, 0.9838, 0.9841, 0.9839, 0.9833, 0.9841, 0.9842, 0.984, 0.9847, 0.9837, 0.9816, 0.9827]"
2560 "[0.9845, 0.9833, 0.9828, 0.981, 0.9823, 0.9842, 0.9841, 0.9836, 0.982, 0.983, 0.9839, 0.9839, 0.9832, 0.9842, 0.9836, 0.9843, 0.9849, 0.9827, 0.9852, 0.9842, 0.9832, 0.9845, 0.9831, 0.982, 0.9845, 0.984, 0.9837, 0.9839, 0.9839, 0.9824, 0.9835, 0.9832, 0.9834, 0.9833, 0.9834, 0.9839, 0.9839, 0.9836, 0.9828, 0.9835]"
5120 "[0.9832, 0.9839, 0.9849, 0.9826, 0.9844, 0.983, 0.9834, 0.9834, 0.9827, 0.9829, 0.9827, 0.9842, 0.9833, 0.9837, 0.9827, 0.9834, 0.9828, 0.984, 0.9842, 0.9846, 0.984, 0.9831, 0.9833, 0.9841, 0.983, 0.9837, 0.9845, 0.9843, 0.9828, 0.9833, 0.9829, 0.9835, 0.9836, 0.984, 0.9831, 0.9835, 0.9836, 0.9836, 0.9836, 0.9836]"
