 Linear2
10 "[0.9703, 0.968, 0.9567, 0.9653, 0.9601, 0.9711, 0.9644, 0.9701, 0.97, 0.9627, 0.974, 0.9725, 0.9678, 0.9653, 0.9641, 0.9663, 0.9656, 0.9716, 0.967, 0.9705]"
20 "[0.9732, 0.97, 0.9751, 0.9715, 0.9733, 0.9685, 0.9747, 0.9716, 0.9737, 0.9725, 0.9692, 0.9751, 0.9766, 0.9733, 0.9711, 0.9758, 0.9719, 0.9755, 0.9732, 0.9763]"
40 "[0.9778, 0.9759, 0.9803, 0.9785, 0.9795, 0.9797, 0.9791, 0.9776, 0.9794, 0.9797, 0.9782, 0.9797, 0.9806, 0.9797, 0.9786, 0.9799, 0.9781, 0.9806, 0.9806, 0.9807]"
80 "[0.9815, 0.9773, 0.9788, 0.9804, 0.9784, 0.9803, 0.978, 0.9801, 0.981, 0.9782, 0.9793, 0.9788, 0.9794, 0.9767, 0.9782, 0.9786, 0.981, 0.9808, 0.9797, 0.9779]"
160 "[0.9785, 0.9815, 0.9769, 0.9796, 0.9796, 0.9817, 0.9808, 0.9811, 0.9788, 0.9774, 0.9802, 0.9808, 0.9807, 0.9796, 0.9807, 0.9805, 0.9793, 0.9802, 0.9788, 0.9818]"
320 "[0.9798, 0.981, 0.9819, 0.981, 0.9804, 0.9808, 0.9824, 0.9813, 0.9799, 0.9815, 0.9825, 0.9792, 0.9767, 0.9812, 0.9822, 0.9789, 0.982, 0.9823, 0.9778, 0.9805]"
640 "[0.9788, 0.9801, 0.9777, 0.9823, 0.9805, 0.9789, 0.9816, 0.9814, 0.9821, 0.9792, 0.9768, 0.982, 0.9797, 0.9796, 0.9811, 0.982, 0.9826, 0.9813, 0.9815, 0.9784]"
1280 "[0.9827, 0.9823, 0.9817, 0.9814, 0.9805, 0.9831, 0.9825, 0.9808, 0.9819, 0.9816, 0.9815, 0.9818, 0.9815, 0.981, 0.9804, 0.9824, 0.9816, 0.9812, 0.9809, 0.982]"
2560 "[0.9831, 0.98, 0.98, 0.9825, 0.9827, 0.9804, 0.9819, 0.9824, 0.9827, 0.9823, 0.9829, 0.9811, 0.9819, 0.9833, 0.9791, 0.9821, 0.9819, 0.981, 0.9827, 0.9829]"
5120 "[0.9817, 0.982, 0.9827, 0.981, 0.9815, 0.9802, 0.9824, 0.9825, 0.9826, 0.9796, 0.9779, 0.9823, 0.9816, 0.9809, 0.9824, 0.9818, 0.9821, 0.982, 0.9816, 0.9824]"
10240 "[0.9826, 0.9823, 0.9824, 0.9826, 0.982, 0.9836, 0.9836, 0.9838, 0.9843, 0.9836, 0.9831, 0.9826, 0.9824, 0.9825, 0.9817, 0.982, 0.9829, 0.9834, 0.9821, 0.9828]"
20480 "[0.9827, 0.9843, 0.984, 0.9838, 0.9832, 0.9831, 0.9837, 0.9835, 0.9825, 0.9833, 0.984, 0.9828, 0.9839, 0.9838, 0.9836, 0.9815, 0.9831, 0.9831, 0.9831, 0.9835]"
